Season,Win,Net Rating_Diff,AdjEM_Diff,AdjOE_Diff,AdjDE_Diff,eFGPct_Diff,TOPct_Diff,ORPct_Diff,FTRate_Diff
2015,1.0,-7.7,-7.70584,-5.2607,2.444999999999993,-3.814799999999998,-0.8364000000000011,0.8659999999999997,-3.5767000000000024
2016,1.0,-5.6000000000000005,-5.63917,-3.4509000000000043,2.1880000000000024,-0.5579999999999998,0.5170999999999992,-4.87444,-2.0199600000000046
2008,1.0,-14.3,-14.25611,-13.585000000000008,0.6711999999999989,-1.4429999999999978,2.6509,-6.119,-12.5696
2008,1.0,-7.900000000000002,-7.8199,-4.715999999999994,3.10329999999999,-2.781500000000001,0.543800000000001,-3.466799999999999,8.255099999999999
2008,1.0,-6.9,-6.8643,-8.088999999999999,-1.2239999999999895,0.9082000000000008,2.0935999999999986,0.0815000000000054,0.8109999999999999
2009,1.0,-5.100000000000001,-5.089600000000001,-0.906000000000006,4.183599999999998,-4.449599999999997,2.4818,7.3992,11.320099999999996
2009,1.0,-10.6,-10.61258,4.332999999999998,14.945499999999996,1.2855999999999952,1.0107999999999997,7.615000000000002,11.3492
2009,1.0,-6.899999999999999,-6.9206,-6.318999999999988,0.6013999999999982,-5.479500000000002,-2.1079000000000008,-2.5497000000000014,-6.7714
2009,1.0,-13.9,-13.9772,-11.884,2.0936999999999983,-1.5178999999999974,2.2479999999999976,-3.087299999999999,2.2190999999999974
2010,1.0,-14.3,-14.39168,-9.545000000000002,4.847200000000001,-6.330800000000004,-2.761999999999997,-1.3046999999999969,4.0578
2010,1.0,-6.700000000000001,-6.6312,-6.742999999999995,-0.111699999999999,-4.112000000000002,2.9612000000000016,0.1325000000000002,0.084699999999998
2011,1.0,-15.2,-15.24739,-5.811999999999998,9.4358,-2.273700000000005,4.391500000000001,7.003999999999998,10.459500000000002
2012,1.0,-6.1,-6.07244,-4.439999999999998,1.6329000000000065,-3.240400000000001,0.2176000000000009,-3.2814999999999976,7.843200000000003
2012,1.0,-8.9,-8.906400000000001,-9.203000000000005,-0.2967000000000013,-6.220300000000002,-0.5195000000000007,0.1141999999999967,1.6664999999999992
2012,1.0,-10.4,-10.409439999999998,-9.054000000000002,1.356099999999998,-2.4376000000000038,-1.113599999999998,-3.9700000000000015,-7.070700000000002
2012,1.0,-27.1,-27.10009,-24.199,2.900300000000001,-8.533099999999997,5.713000000000001,2.795099999999998,4.895400000000002
2012,1.0,-5.6,-5.645,-7.7109999999999985,-2.0660000000000025,-4.4816,1.7929999999999993,5.4166000000000025,7.610600000000002
2013,1.0,-12.0,-11.94293,-1.8130000000000024,10.129999999999995,5.907499999999999,3.179100000000002,-3.664400000000001,3.923400000000001
2013,1.0,-14.9,-14.97496,-2.7450000000000045,12.229799999999996,0.4750000000000014,0.9425999999999988,2.144200000000005,-1.625399999999999
2013,1.0,-5.600000000000001,-5.622299999999999,4.033999999999992,9.656099999999997,0.5511000000000053,0.2509999999999994,1.5165999999999968,9.1402
2014,1.0,-7.100000000000001,-7.052899999999999,4.581999999999994,11.635199999999998,2.0604999999999976,1.0055000000000014,4.3644,-1.708600000000004
2014,1.0,-6.099999999999998,-6.138699999999998,-2.4110000000000014,3.7275000000000063,2.8123000000000005,-0.1743999999999985,-1.834699999999998,2.1488999999999976
2014,1.0,-15.9,-15.91393,-13.927000000000008,1.987000000000009,0.2588000000000008,2.906600000000001,-3.314700000000002,-1.4298000000000002
2014,1.0,-9.0,-8.9771,3.116,12.093000000000004,4.367400000000004,-0.2478999999999978,3.276200000000003,4.738299999999995
2015,1.0,-11.8,-11.8155,-5.013000000000005,6.802400000000006,2.1240999999999985,-3.8108,-11.9469,-0.9211999999999988
2015,1.0,-18.5,-18.42575,-14.036999999999992,4.388999999999996,-6.7547,4.325600000000001,5.866600000000002,-0.8654000000000011
2016,1.0,-10.6,-10.6162,-7.693000000000012,2.9236000000000075,-1.716000000000001,-2.0539000000000023,-8.22016,-3.9685200000000016
2016,1.0,-6.200000000000001,-6.162100000000001,-4.260000000000005,1.9025999999999923,-0.3275999999999968,0.4417999999999971,-2.0217600000000004,3.659420000000004
2016,1.0,-23.2,-23.20914,-18.795999999999992,4.4131,-4.580299999999994,-0.498899999999999,-8.35228,4.956490000000002
2016,1.0,-5.1,-5.0672,-3.410000000000011,1.6576000000000022,3.702599999999997,-0.2295999999999995,-12.969540000000002,-5.483700000000006
2016,1.0,-8.799999999999999,-8.824500000000002,-3.1369999999999862,5.687700000000007,4.986800000000002,-2.313200000000002,-8.48715,-11.90054
2017,1.0,-11.3,-11.2798,-5.597999999999999,5.682600000000008,-2.39981899,-1.1942352900000015,-6.232998770000002,0.7908277599999991
2018,1.0,-6.100000000000001,-6.167499999999999,-3.312000000000012,2.8549999999999898,-1.484567680000005,-1.04518135,-1.3345239200000023,-7.144420060000002
2018,1.0,-12.6,-12.49372,-11.573000000000008,0.921999999999997,-0.3820037999999996,0.6519949400000016,-12.803395950000002,-1.756671560000001
2018,1.0,-29.1,-29.027969,-12.02900000000001,16.998899999999992,-0.4819696100000001,3.1962038799999988,-1.0732123499999986,5.799247440000002
2019,1.0,-8.600000000000001,-8.4953,-6.525999999999996,1.969300000000004,1.3304658099999995,-2.0505507000000023,-9.407484729999997,-5.939883539999997
2019,1.0,-7.400000000000002,-7.428000000000001,-9.824000000000012,-2.3956000000000017,-4.478241390000001,2.4736493500000023,-0.6878607499999987,3.617348599999996
2019,1.0,-10.8,-10.90369,-1.0930000000000035,9.810999999999993,1.9713946700000025,0.0414282099999994,5.149558680000002,-1.8369848500000003
