Season,GameID,Team,VS,TeamID,OpponentID,Net Rating_Diff,AdjEM_Diff,AdjOE_Diff,AdjDE_Diff,eFGPct_Diff,TOPct_Diff,ORPct_Diff,FTRate_Diff,AdjDE_Diff_Weighted,Upset_Score,Upset_Score2
2025,100,Ole Miss,Florida,1120,1106,-3.55,-13.7532,-10.041,3.7115,-4.0670129,-2.37137123,-12.65723386,0.1299125000000001,6.6807,6870.332784999998,13740.665569999996
2025,101,Duke,Houston,1257,1166,0.7,2.7079,4.73,2.0217,4.68684591,-0.21810656,-0.95512658,0.40044375,3.63906,1368.1380575000003,2736.2761150000006
