Season,GameID,Team,VS,TeamID,OpponentID,Net Rating_Diff,AdjEM_Diff,AdjOE_Diff,AdjDE_Diff,eFGPct_Diff,TOPct_Diff,ORPct_Diff,FTRate_Diff
2025,100,Auburn,Ole Miss,1120,1106,13,12.9659,10.608,-2.3578,4.62725635,0.61603562,8.98987336,-2.07234164
2025,101,Florida,St. John's,1257,1166,9.8,9.4506,14,4.5498,5.46555293,-0.43707269,0.68240911,2.00824136
2025,102,Duke,VCU,1276,1895,17.6,17.4477,11.748,-5.7003,4.92862911,-2.13217548,-1.49241847,0.46651559
2025,103,Houston,Tennessee,1401,1463,4.2,4.0053,3.288,-0.7173,-0.12067835,-1.45965021,0.22100288,-6.46564625
