Season,GameID,Team,VS,TeamID,OpponentID,Net Rating_Diff,AdjEM_Diff,AdjOE_Diff,AdjDE_Diff,eFGPct_Diff,TOPct_Diff,ORPct_Diff,FTRate_Diff
2025,100,Ole Miss,Florida,1120,1106,-14.2,-13.7532,-10.041,3.7115,-4.0670129,-2.37137123,-12.65723386,3.41925745
2025,101,Duke,Houston,1257,1166,2.8,2.7079,4.73,2.0217,4.68684591,-0.21810656,-0.95512658,3.9254702
