Season,GameID,Team,VS,TeamID,OpponentID,Net Rating_Diff,AdjEM_Diff,AdjOE_Diff,AdjDE_Diff,eFGPct_Diff,TOPct_Diff,ORPct_Diff,FTRate_Diff
2025,100,Auburn,Michigan,1120,1106,12.7,13.2184,11.718,-1.5008,0.76355551,-6.67460201,0.60827593,-1.83430268
2025,101,Ole Miss,Marquette,1257,1166,0.4,0.4848,0.202,-0.2832,-0.95066789,-0.75556769,-4.7620105,9.53673082
2025,102,Florida,Memphis,1276,1895,20.9,20.6851,14.636,-6.0491,1.43518568,-4.13583842,3.2636853,-7.43734249
2025,103,Texas Tech,St. John's,1401,1463,1.7,1.6803,11.397,9.7171,5.76977966,-0.77471909,-3.07168394,-0.44539375
2025,104,Duke,Oregon,1279,1314,18.1,18.0028,11.356,-6.6473,5.11512206,-1.84821829,4.62701823,-1.29546068
2025,105,VCU,Alabama,1235,1252,-9.3,-9.2023,-10.347,-1.1446,-3.91539799,-0.12128537,1.95364746,-8.49925874
2025,106,Houston,Purdue,1266,1307,11.6,11.6437,-0.894,-12.5377,-3.65753193,-0.94728514,5.16871255,-6.45749606
2025,107,Xavier,Tennessee,1277,1136,-14,-14.2663,-4.522,9.744,1.10837402,-0.04313458,-10.71655064,2.55399008
